Link,Dirección,Estado,Entrega_aprox,Mantenimiento
/inmueble/proyecto/ememefin-proyecto-edificio-plazuela-arrospide-san-isidro-orrantia-sergio-molina-143263112,"Orrantia, San Isidro",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-aurora-miraflores-2-dormitorios-144130821,"Aurora, Miraflores",Departamento finalizado,Departamento finalizado,1000
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-143760725,"San Borja, Lima",Departamento finalizado,Departamento finalizado,600
/inmueble/clasificado/veclapin-venta-de-departamento-en-camacho-la-molina-2-dormitorios-144346955,"Camacho, La Molina",Departamento finalizado,Departamento finalizado,180
/inmueble/clasificado/veclapin-venta-de-departamento-en-pancho-fierro-santiago-de-surco-3-dormitorios-144212181,"Pancho Fierro, Santiago de Surco",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-vista-alegre-santiago-de-surco-3-dormitorios-144346845,"Vista Alegre, Santiago de Surco",Departamento finalizado,Departamento finalizado,400
/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-2-dormitorios-144002249,"Lince, Lima",Departamento finalizado,Departamento finalizado,350
/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-2-dormitorios-143710753,"Pueblo Libre, Lima",Departamento finalizado,Departamento finalizado,250
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-143770274,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,1
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-4-dormitorios-143804271,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-sarapampa-asia-2-dormitorios-144346787,"Sarapampa, Asia",Departamento finalizado,Departamento finalizado,200
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-144356399,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-143854091,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,1060
/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-144392092,"Barranco, Lima",Departamento finalizado,Departamento finalizado,160
/inmueble/clasificado/veclapin-venta-de-departamento-en-acuario-santiago-de-surco-2-dormitorios-143336454,"Acuario, Santiago de Surco",Departamento finalizado,Departamento finalizado,500
/inmueble/clasificado/veclapin-venta-de-departamento-en-chacarilla-del-estanque-santiago-de-surco-4-dormitorios-144307388,"Chacarilla Del Estanque, Santiago de Surco",Departamento finalizado,Departamento finalizado,900
/inmueble/proyecto/ememvein-proyecto-edificio-intower-vive-a-pasos-de-chacarilla-entrega-inmediata-lima-santiago-de-surco-vita-in-inmobiliaria-63020565,"Santiago de Surco, Lima",entrega inmediata,· Entrega inmediata,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-valenti-lima-pueblo-libre-barqueros-grupo-constructor-66155929,"Pueblo Libre, Lima",en construcción,· Entrega inmediata,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-roma-living-lima-miraflores-efron-arquitectos-65015696,"Miraflores, Lima",en construcción,· Entrega abril 2025,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-la-mar-1055-lima-miraflores-tale-inmobiliaria-64548829,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-casanova-151-lima-lince-tale-inmobiliaria-142446683,"Lince, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-esencial-lince-risso-alerces-inmobiliaria-58805956,"Risso, Lince",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-zendai-la-victoria-santa-catalina-grupo-lar-143342166,"Santa Catalina, La Victoria",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-pacifik-ocean-tower-lima-san-miguel-labok-grupo-inmobiliario-3690380,"San Miguel, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememefin-proyecto-rosario-240-miraflores-santa-cruz-sembra-inmobiliaria-66811193,"Santa Cruz, Miraflores",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-vallejo-living-lince-s-n-grupo-tyc-66564092,"S/n, Lince",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-la-fuente-281-lima-san-isidro-tale-inmobiliaria-143966517,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-sq-work-living-apartments-surquillo-limatambo-hl-desarrollos-inmobiliarios-65706719,"Limatambo, Surquillo",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememhvin-proyecto-vista-marina-lima-chorrillos-tale-inmobiliaria-4681588,"Chorrillos, Lima",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-elant-la-victoria-santa-catalina-grupo-lar-143339804,"Santa Catalina, La Victoria",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/proyecto/ememvein-proyecto-edificio-veta-ultimo-dpto-triplex-en-entrega-inmediata-santiago-de-surco-higuereta-vita-in-inmobiliaria-57916667,"Higuereta, Santiago de Surco",Departamento finalizado,Departamento finalizado,No hay mantenimiento
/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-3-dormitorios-143700134,"Barranco, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-3-dormitorios-144202446,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-jesus-maria-lima-4-dormitorios-144181049,"Jesús María, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-antonio-miraflores-2-dormitorios-142852137,"San Antonio, Miraflores",Departamento finalizado,Departamento finalizado,443
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-144338904,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,270
/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-144312990,"Miraflores, Lima",Departamento finalizado,Departamento finalizado,320
/inmueble/clasificado/veclapin-venta-de-departamento-en-orrantia-del-mar-san-isidro-3-dormitorios-4099636,"Orrantia Del Mar, San Isidro",Departamento finalizado,Departamento finalizado,190
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-90956867,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,1300
/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-143959035,"San Isidro, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-club-golf-los-incas-santiago-de-surco-3-dormitorios-142841426,"Club Golf Los Incas, Santiago de Surco",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-chorrillos-lima-3-dormitorios-144225225,"Chorrillos, Lima",Departamento finalizado,Departamento finalizado,170
/inmueble/clasificado/veclapin-venta-de-departamento-en-golf-san-isidro-3-dormitorios-143969219,"Golf, San Isidro",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-lince-lima-3-dormitorios-143897795,"Lince, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-4-dormitorios-143380539,"Santiago de Surco, Lima",Departamento finalizado,Departamento finalizado,
/inmueble/clasificado/veclapin-venta-de-departamento-en-pueblo-libre-lima-3-dormitorios-144194985,"Pueblo Libre, Lima",Departamento finalizado,Departamento finalizado,350
